建筑面积,套内面积,配备电梯,复式,错层,高楼层,中楼层,板楼,塔楼,毛坯,简装,精装,卧室数,客厅数,厨房数,卫生间数,地区平均房价,价格/万
146.37,118.81,1,0,0,1,0,0,1,0,1,0,4,2,1,2,2.3838,330.0
109.17,109.17,1,0,0,0,1,1,0,0,0,1,4,2,1,2,0.9573,135.0
87.39,69.9,0,0,0,0,1,1,0,0,1,0,2,2,1,1,2.3838,105.0
117.47,92.99,1,0,0,1,0,1,0,0,0,0,4,2,1,2,0.9573,120.0
88.62,68.06,1,0,0,0,1,0,1,0,1,0,3,2,1,1,1.2652,118.0
78.96,61.63,1,0,0,0,1,1,0,0,0,1,3,2,1,1,2.3838,175.0
77.26,58.86,1,1,0,1,0,0,0,0,0,1,4,1,1,3,2.3838,268.0
92.8,74.29,1,0,0,1,0,0,0,0,0,1,3,2,1,2,1.2652,106.0
80.78,64.76,1,0,0,1,0,0,0,0,0,1,2,2,1,1,2.3838,180.0
57.96,43.33,1,0,0,0,1,0,1,0,0,1,3,2,1,2,2.3838,125.0
252.36,192.36,1,0,0,0,0,1,0,0,0,1,4,3,1,3,2.3838,660.0
143.0,103.64,1,0,0,1,0,0,1,0,0,1,3,2,1,2,2.3838,378.0
88.26,67.95,1,0,0,0,1,0,0,0,0,1,3,2,1,1,0.9573,95.0
129.99,107.94,1,0,0,1,0,0,0,1,0,0,3,2,1,2,0.9573,139.0
74.16,68.0,1,0,0,0,1,0,0,0,0,1,3,2,1,1,2.3838,148.0
83.14,67.21,1,0,0,1,0,0,1,0,0,0,3,2,1,1,0.9573,80.0
93.87,81.23,1,0,0,0,1,0,1,0,1,0,3,2,1,2,2.3838,173.0
155.21,106.32,1,0,0,1,0,1,0,0,0,0,3,1,1,2,2.3838,512.0
91.04,68.09,1,0,0,1,0,0,1,0,0,1,3,2,1,1,2.3838,173.0
87.01,68.43,1,0,0,1,0,0,0,0,0,1,3,2,1,1,1.2652,108.0
91.66,82.59,0,0,0,0,1,1,0,0,1,0,3,2,1,2,0.9573,72.0
63.04,49.89,1,0,0,0,0,0,1,0,0,1,2,2,1,1,2.3838,173.0
76.75,63.03,1,0,0,0,1,0,1,0,0,0,2,1,1,1,2.3838,190.0
88.61,68.06,1,0,0,1,0,0,1,0,0,1,3,2,1,1,1.2652,100.0
114.95,101.98,1,0,0,0,1,0,0,0,0,1,3,2,1,2,1.2652,98.0
137.39,104.31,0,0,0,1,0,0,0,1,0,0,4,2,1,2,0.9573,182.0
97.61,63.33,1,0,0,1,0,0,0,0,0,1,3,2,1,2,1.2652,165.0
89.81,72.71,1,0,0,0,0,0,0,0,0,1,3,1,1,1,2.3838,200.0
129.34,103.66,1,0,0,0,1,1,0,0,1,0,4,1,1,2,1.2652,150.0
67.68,52.02,1,0,0,0,1,0,1,1,0,0,2,2,1,1,1.2652,55.5
73.0,58.0,1,0,0,0,1,1,0,0,0,1,2,2,1,1,1.2652,50.0
101.06,85.51,1,0,1,0,1,0,1,0,0,0,2,2,1,1,1.534,190.0
38.22,29.87,1,0,0,0,0,0,1,0,0,1,1,0,1,1,2.3838,90.0
68.7,49.57,1,0,0,1,0,0,0,0,0,1,2,2,1,1,2.3838,160.0
